Business Name,Category,City,State,Phone,Website,Social Media,Ethiopian Ownership/Affiliation Evidence,AI/Website Lead Priority,Source,Lead Score,Suggested Offer,Ownership Verification
Chercher Ethiopian Restaurant & Mart,Restaurant / Mart,Washington,DC,202-299-9703,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Das Ethiopian Cuisine,Restaurant,Washington,DC,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Dukem Ethiopian Restaurant,Restaurant,Washington,DC,202-667-8735,,,Ethiopian restaurant directory listing,High,Go Ethiopian Way / Yellow Pages,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Eatopia Eatery,Restaurant / Brunch,Washington,DC,202-930-6799,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Enat Ethiopia International Market & Deli,Grocery / Deli,Washington,DC,202-541-9550,,,Ethiopian market listing,High,HabeshaLink,85,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Ethiopic Restaurant,Restaurant,Washington,DC,202-675-2066,,,Owners identified as Meseret & Samuel Ergete,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Family Ethiopian Restaurant,Restaurant / Bar,Washington,DC,202-629-2950,,,Family-owned Ethiopian restaurant,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Feru Ethiopian Cuisine,Restaurant,Washington,DC,202-845-8524,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Habesha Market & Carryout,Grocery / Restaurant,Washington,DC,202-232-1919,habeshamarket.com,,Ethiopian market listing,High,HabeshaLink,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Habesha Mesob Kitchen,Restaurant,Washington,DC,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Heat Da Spot Café,Coffee Shop,Washington,DC,,,,Ethiopian coffee business listing,High,Go Ethiopian Way,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Keren Cafe & Restaurant,Restaurant / Cafe,Washington,DC,202-265-5764,,,Family-owned Ethiopian/Eritrean business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Menen Beauty and Cosmetics,Beauty / Salon,Washington,DC,,,,Habesha beauty business listing,High,HabeshaLink,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Sahlu Mikael Law Office,Immigration / Law,Washington,DC,202-393-5135,,,Ethiopian immigration lawyer listing,High,Habesha Yellow Pages,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Selassie Ethiopian Market,Grocery,Washington,DC,202-621-6860,,,Ethiopian market listing,High,Yellow Pages,85,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Shewa Ethiopian Restaurant,Restaurant,Washington,DC,301-905-2823,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Wisdom Tax Services #4,Accounting / Tax,Washington,DC,202-545-1040,,,Habesha business directory listing,High,HabeshaLink,85,Website modernization + AI lead capture + appointment automation,Needs direct owner confirmation
Liberty Habesha Driving School,Driving School,Hyattsville,MD,301-633-3256 / 240-704-5927,,,Ethiopian/Habesha driving school listing,High,Habesha Yellow Pages,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Selam Injera Bakery,Bakery,Hyattsville,MD,,,,Ethiopian bakery listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Selam Market and Carryout,Grocery / Restaurant,Hyattsville,MD,240-770-3971,,,Habesha market/restaurant listing,High,HabeshaLink,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Shagga Coffee & Restaurant,Restaurant / Cafe,Hyattsville,MD,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Adarash Market & Carryout,Grocery / Carryout,Silver Spring,MD,240-863-3057,,,Ethiopian-focused market,High,Google/business source,85,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Addis Ababa Restaurant,Restaurant,Silver Spring,MD,301-589-1400 / 301-589-1999,,,Ethiopian restaurant directory listing,High,HabeshaLink,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Awdamet Market,Grocery,Silver Spring,MD,240-531-2994,,,Ethiopian/Habesha grocery,High,Google/business source,85,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Betel Ethiopian Cuisine & Cafe,Restaurant / Cafe,Silver Spring,MD,301-588-2225,,,Ethiopian restaurant directory listing,High,HabeshaLink,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Beteseb Restaurant,Restaurant,Silver Spring,MD,301-448-1625,,,Ethiopian family-owned business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Dashen Ethiopian Grocery,Grocery,Silver Spring,MD,301-562-4040,,,Ethiopian market listing,High,HabeshaLink,85,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Dessie Ethiopian Market,Grocery,Silver Spring,MD,301-933-5580,,,Ethiopian market listing,High,HabeshaLink,85,Website modernization + local SEO + AI customer support,Source provides Ethiopian/family ownership or affiliation evidence
Effoi Restaurant,Restaurant,Silver Spring,MD,240-204-2875,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Elilta Restaurant & Carryout,Restaurant,Silver Spring,MD,301-244-5264,,,Ethiopian/Eritrean family-run business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Ethiopian Airlines Ticket Agent / Ethiopian Travel Agency,Travel Agency,Silver Spring,MD,301-244-8174,,,Ethiopian travel agency listing,High,Habesha Yellow Pages,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Kiros Asmamaw,Real Estate,Silver Spring,MD,202-207-6036 / 301-439-1180,,,Ethiopian real estate agent listing,High,HabeshaLink,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Nazrawi Ethiopian Restaurant,Restaurant,Silver Spring,MD,301-844-5149,,,Ethiopian family-run business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Omo Bar & Restaurant,Restaurant / Bar,Silver Spring,MD,301-562-7001,,,Ethiopian restaurant directory listing,High,HabeshaLink,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Sebseb Ethiopian Restaurant and Bar,Restaurant / Bar,Silver Spring,MD,301-565-0700,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Zene's Ethiopian Restaurant & Bar,Restaurant / Deli,Silver Spring,MD,301-920-0115,,,Ethiopian business listing,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
A&A Accounting & Tax Service,Accounting / Tax,Takoma Park,MD,301-408-7701,,,Habesha business directory listing,High,HabeshaLink,85,Website modernization + AI lead capture + appointment automation,Needs direct owner confirmation
Sidamo Buna Bar,Coffee Shop,Wheaton,MD,,,,Ethiopian coffee business listing,High,Go Ethiopian Way,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Aaron Tax & Accounting Services LLC,Accounting / Tax,Alexandria,VA,703-642-2063,,,Habesha business directory listing,High,Habesha Yellow Pages,85,Website modernization + AI lead capture + appointment automation,Needs direct owner confirmation
Admassu & Getu Driving School,Driving School,Alexandria,VA,703-658-5000,,,Ethiopian driving school listing,High,HabeshaLink,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Feru Bar and Restaurant,Restaurant / Bar,Alexandria,VA,703-566-0843,,,Ethiopian restaurant business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Hawwi Ethiopian Restaurant,Restaurant,Alexandria,VA,703-717-9740,,,Family-run Ethiopian restaurant,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Haymi BBQ & International Grocery,Restaurant / Grocery,Alexandria,VA,703-660-1277,,,Ethiopian food/grocery business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Merkato Spice & Grocery,Grocery,Alexandria,VA,,,,Verified Ethiopian business listing,High,Go Ethiopian Way,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Moses Driving School,Driving School,Alexandria,VA,703-725-1933,,,Ethiopian driving school listing,High,Habesha Yellow Pages,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Teddy Kelemwork,Real Estate,Alexandria,VA,703-589-7080,,,Ethiopian real estate agent listing,High,Habesha Yellow Pages,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
World Food / Alem Gebeya,Grocery,Alexandria,VA,,,,Verified Ethiopian/East African business listing,High,Go Ethiopian Way,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
ZeMeda Market and Restaurant,Restaurant / Grocery,Alexandria,VA,703-212-6740,,,Ethiopian restaurant/market business,High,Google/business source,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Adey Catering Co.,Catering,Arlington,VA,,,,Ethiopian catering listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Source provides Ethiopian/family ownership or affiliation evidence
Ayana Ethiopian Market,Grocery,Arlington,VA,,,,Verified Ethiopian business listing,High,Go Ethiopian Way,85,Website modernization + local SEO + AI customer support,Needs direct owner confirmation
Dama Restaurant and Pastry,Restaurant / Bakery,Arlington,VA,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Enjera Restaurant,Restaurant,Arlington,VA,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
Enku Taye REALTOR,Real Estate,Falls Church,VA,703-864-0498,,,Ethiopian real estate agent listing,High,HabeshaLink,85,Website modernization + AI lead capture + appointment automation,Source provides Ethiopian/family ownership or affiliation evidence
Nazret Ethiopian Restaurant,Restaurant,Falls Church,VA,,,,Ethiopian business listing,High,Go Ethiopian Way,85,Website + AI receptionist + Google/SEO + online ordering/booking,Needs direct owner confirmation
